107,,,,,,,,,,,,,,,,,
17,awb_gain_r,awb_gain_gr,awb_gain_b,awb_gain_gb,awb_gain_shift,tr_first_tile_width,tr_first_tile_height,out_line_offset,out_line_num,RawHsize,RawVsize,SrcHbase,SrcVbase,SrcHsize,SrcVsize,DestHsize,DestVsize
pattern_00001,1,1,1,1,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00002,1,1,1,2048,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00003,1,1,1,4095,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00004,1,1,2048,1,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00005,1,1,2048,4095,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00006,1,1,4095,1,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00007,1,1,4095,2048,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00008,1,1,4095,4095,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00009,1,2048,1,2048,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00010,1,2048,1,4095,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00011,1,2048,2048,1,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00012,1,2048,2048,2048,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00013,1,2048,4095,1,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00014,1,2048,4095,2048,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00015,1,2048,4095,4095,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00016,1,4095,1,1,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00017,1,4095,1,4095,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00018,1,4095,2048,1,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00019,1,4095,2048,2048,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00020,1,4095,2048,4095,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00021,1,4095,4095,2048,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00022,1,4095,4095,4095,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00023,2048,1,1,1,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00024,2048,1,1,2048,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00025,2048,1,2048,1,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00026,2048,1,2048,2048,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00027,2048,1,2048,4095,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00028,2048,1,4095,1,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00029,2048,1,4095,4095,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00030,2048,2048,1,1,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00031,2048,2048,1,2048,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00032,2048,2048,1,4095,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00033,2048,2048,2048,2048,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00034,2048,2048,2048,4095,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00035,2048,2048,4095,1,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00036,2048,2048,4095,2048,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00037,2048,4095,1,1,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00038,2048,4095,1,2048,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00039,2048,4095,1,4095,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00040,2048,4095,2048,1,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00041,2048,4095,2048,4095,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00042,2048,4095,4095,1,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00043,2048,4095,4095,2048,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00044,2048,4095,4095,4095,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00045,4095,1,1,2048,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00046,4095,1,1,4095,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00047,4095,1,2048,1,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00048,4095,1,2048,2048,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00049,4095,1,4095,1,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00050,4095,1,4095,2048,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00051,4095,1,4095,4095,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00052,4095,2048,1,1,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00053,4095,2048,1,4095,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00054,4095,2048,2048,1,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00055,4095,2048,2048,2048,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00056,4095,2048,2048,4095,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00057,4095,2048,4095,2048,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00058,4095,2048,4095,4095,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00059,4095,4095,1,1,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00060,4095,4095,1,2048,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00061,4095,4095,2048,1,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00062,4095,4095,2048,2048,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00063,4095,4095,2048,4095,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00064,4095,4095,4095,1,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00065,4095,4095,4095,4095,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00066,1567,1470,1996,1080,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00067,84,284,329,1663,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00068,1773,3110,827,3318,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00069,3322,1051,2905,2330,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00070,1575,1904,704,3715,3,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00071,1358,3226,545,678,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00072,1850,1548,3662,1327,6,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00073,160,3409,322,269,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00074,2812,2880,2526,3022,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00075,889,3324,1711,2869,7,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00076,861,1969,3333,1074,3,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00077,1186,2751,1738,237,6,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00078,1860,353,3788,656,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00079,1797,583,3585,1211,5,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00080,791,2676,4083,3233,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00081,1525,1207,763,720,3,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00082,372,3623,3384,3347,6,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00083,3609,2121,209,4057,6,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00084,4065,1743,502,3327,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00085,2033,3639,1467,2328,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00086,302,2659,1805,1603,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00087,1146,552,2581,610,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00088,330,2770,1029,2633,5,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00089,1439,3848,1087,3047,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00090,954,1035,1417,1444,7,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00091,1886,3488,660,1031,6,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00092,2810,976,6,2039,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00093,125,1067,633,3807,3,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00094,198,3768,1892,1748,6,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00095,1845,3962,3921,1446,6,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00096,2950,40,2396,115,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00097,2650,4000,3959,3565,2,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00098,4076,3916,1385,837,7,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00099,2825,534,682,3573,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00100,1459,2166,415,2780,5,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00101,1057,2803,182,1333,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00102,1150,1121,1328,1784,3,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00103,1322,508,3319,1941,4,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00104,455,1280,3262,1099,3,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00105,47,2060,933,3576,8,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00106,2645,2450,544,644,5,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00107,1492,2164,1073,1624,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
